T_final,c0_death,epsilon_selection,stage,mean_q_range_mean,mean_q_range_sd,median_q_range_mean,median_q_range_sd,mean_top2_gap_mean,mean_top2_gap_sd,median_top2_gap_mean,median_top2_gap_sd,mean_q_sd_across_treatments_mean,mean_q_sd_across_treatments_sd,mean_q_max_mean,mean_q_min_mean
10,-12.0,0.3,0,1.893804781149155,0.15918851771341722,1.3296692175526457,0.11195377288964749,0.33325515840684494,0.021296308665388654,0.27779748559048273,0.010522941044536058,0.6699021618196941,0.05880638347640772,3.9556072225514862,2.061802441402331
10,-12.0,0.3,1,0.8187073821289683,0.07678598863168433,0.5629293109729663,0.04789051974752519,0.2049751772968386,0.020366579432646397,0.14496526180287447,0.01427492160624618,0.2803234970505181,0.026493085769762566,2.6444950823812485,1.8257877002522804
10,-12.0,0.3,2,0.6171714198706768,0.0531988280543411,0.43732253445308655,0.042042765017906394,0.1503185212623472,0.011482684543771144,0.11960267656612902,0.011349342618076283,0.21035393567839367,0.018547274726555853,1.899320928255245,1.282149508384568
10,-12.0,0.3,3,0.3686438265659501,0.04811297146324689,0.24469918504312202,0.029664989294532082,0.08116037546820373,0.00975402100357487,0.07215522460974556,0.007141671252658628,0.1250615920543972,0.016684834572996948,1.4244833396161236,1.0558395130501732
10,-12.0,0.3,4,0.23431358524285448,0.024392582218755367,0.13133518160314764,0.01337247348888629,0.04461368818640045,0.0040059407978040905,0.040146359645486976,0.0036357196886422955,0.07959891473969817,0.008349438172761093,1.103449828875218,0.8691362436323635
10,-12.0,0.3,5,0.1541466180458379,0.028114743227214772,0.08142427083214346,0.016264864971482065,0.026580546760800426,0.003640213720694667,0.02317468823524247,0.002311964193754838,0.05242438982816462,0.009698458636834616,0.8590148457822275,0.7048682277363896
10,-12.0,0.3,6,0.1274770237027246,0.016255387072537684,0.06291462152133667,0.011911076495499918,0.019427976947597077,0.00209139528065261,0.014715059522967255,0.001489147244335978,0.043420493545402096,0.0055743657458982646,0.6510827084067351,0.5236056847040105
10,-12.0,0.3,7,0.09115050666634146,0.013756169330347527,0.04824416139337227,0.014534531193311629,0.012933822892957622,0.0015715191920694647,0.009333236300904896,0.001623592343855047,0.030992928555500725,0.004656494092660908,0.46233749694428017,0.37118699027793883
10,-12.0,0.3,8,0.06508969318716792,0.010370331522788493,0.03480343165689385,0.01072536684360549,0.008626621977367578,0.0011827948636324778,0.005838315483315043,0.0011661173611447815,0.022055225295539372,0.0034888038400099374,0.2934864804066261,0.22839678721945825
10,-12.0,0.3,9,0.03121258966642565,0.00456305754293265,0.01742970090429779,0.0035524200337809686,0.004009177352672583,0.0005072766235407749,0.0026745829581902554,0.000377855283752264,0.010554304363865012,0.0015315692581598166,0.1378711301437841,0.10665854047735845
